Op;DataLogCdc;IDFaturamento;IDEletroposto;IDCliente;StatusPagamento;ValorPagamento;DataTransacao
UPDATE;2026-02-17 11:28:12;FAT_155;ELETRO_211;IDCliente_54;Pago;367.35;2026-02-15 11:28:12
INSERT;2026-01-28 09:46:23;FAT_156;ELETRO_88;IDCliente_18;Pago;294.76;2026-01-28 09:46:23
INSERT;2026-04-17 09:59:44;FAT_157;ELETRO_460;IDCliente_59;Pendente;252.88;2026-04-17 09:59:44
UPDATE;2026-04-19 21:59:44;FAT_157;ELETRO_460;IDCliente_59;Pago;252.88;2026-04-17 09:59:44
INSERT;2026-02-23 12:40:47;FAT_158;ELETRO_133;IDCliente_5;Pendente;375.97;2026-02-23 12:40:47
UPDATE;2026-02-25 00:40:47;FAT_158;ELETRO_133;IDCliente_5;Pago;375.97;2026-02-23 12:40:47
INSERT;2026-02-03 19:47:20;FAT_159;ELETRO_253;IDCliente_37;Pago;190.6;2026-02-03 19:47:20
INSERT;2026-02-13 01:30:30;FAT_160;ELETRO_235;IDCliente_68;Pago;296.88;2026-02-13 01:30:30
INSERT;2026-01-19 11:30:08;FAT_161;ELETRO_407;IDCliente_82;Pendente;308.15;2026-01-19 11:30:08
UPDATE;2026-01-22 23:30:08;FAT_161;ELETRO_407;IDCliente_82;Pago;308.15;2026-01-19 11:30:08
INSERT;2026-04-25 03:43:13;FAT_162;ELETRO_453;IDCliente_48;Pago;318.58;2026-04-25 03:43:13
INSERT;2026-03-07 02:45:33;FAT_163;ELETRO_107;IDCliente_2;Pendente;222.39;2026-03-07 02:45:33
UPDATE;2026-03-09 09:45:33;FAT_163;ELETRO_107;IDCliente_2;Cancelado;222.39;2026-03-07 02:45:33
INSERT;2026-01-26 02:43:39;FAT_164;ELETRO_253;IDCliente_50;Pago;377.91;2026-01-26 02:43:39
INSERT;2026-04-26 05:45:22;FAT_165;ELETRO_476;IDCliente_5;Pago;323.61;2026-04-26 05:45:22
INSERT;2026-04-19 15:41:21;FAT_166;ELETRO_273;IDCliente_24;Pago;371.65;2026-04-19 15:41:21
INSERT;2026-04-08 17:32:05;FAT_167;ELETRO_82;IDCliente_14;Pendente;381.36;2026-04-08 17:32:05
UPDATE;2026-04-11 21:32:05;FAT_167;ELETRO_82;IDCliente_14;Pago;381.36;2026-04-08 17:32:05
INSERT;2026-05-04 11:22:51;FAT_168;ELETRO_370;IDCliente_12;Pago;368.48;2026-05-04 11:22:51
INSERT;2026-02-15 11:52:46;FAT_169;ELETRO_154;IDCliente_26;Pago;248.38;2026-02-15 11:52:46
INSERT;2026-04-09 17:58:48;FAT_170;ELETRO_338;IDCliente_72;Pago;337.0;2026-04-09 17:58:48
INSERT;2026-02-14 09:28:38;FAT_171;ELETRO_331;IDCliente_12;Pendente;51.34;2026-02-14 09:28:38
UPDATE;2026-02-16 10:28:38;FAT_171;ELETRO_331;IDCliente_12;Cancelado;51.34;2026-02-14 09:28:38
INSERT;2026-03-02 20:54:07;FAT_172;ELETRO_123;IDCliente_30;Pago;316.53;2026-03-02 20:54:07
INSERT;2026-03-12 01:46:16;FAT_173;ELETRO_43;IDCliente_46;Pendente;63.91;2026-03-12 01:46:16
UPDATE;2026-03-15 06:46:16;FAT_173;ELETRO_43;IDCliente_46;Pago;63.91;2026-03-12 01:46:16
INSERT;2026-05-10 00:05:06;FAT_174;ELETRO_129;IDCliente_15;Pago;35.89;2026-05-10 00:05:06
INSERT;2026-03-19 04:54:36;FAT_175;ELETRO_345;IDCliente_83;Pendente;266.91;2026-03-19 04:54:36
UPDATE;2026-03-22 05:54:36;FAT_175;ELETRO_345;IDCliente_83;Cancelado;266.91;2026-03-19 04:54:36
INSERT;2026-04-17 00:58:42;FAT_176;ELETRO_457;IDCliente_34;Pago;173.43;2026-04-17 00:58:42
INSERT;2026-01-03 12:53:08;FAT_177;ELETRO_8;IDCliente_25;Pago;202.04;2026-01-03 12:53:08
INSERT;2026-01-25 10:13:16;FAT_178;ELETRO_498;IDCliente_14;Pago;227.75;2026-01-25 10:13:16
INSERT;2026-03-31 16:34:43;FAT_179;ELETRO_59;IDCliente_49;Pago;331.51;2026-03-31 16:34:43
INSERT;2026-04-03 06:07:58;FAT_180;ELETRO_192;IDCliente_5;Pendente;220.83;2026-04-03 06:07:58
INSERT;2026-01-20 09:55:45;FAT_181;ELETRO_19;IDCliente_57;Pago;195.72;2026-01-20 09:55:45
INSERT;2026-03-04 04:28:31;FAT_182;ELETRO_220;IDCliente_57;Pendente;119.61;2026-03-04 04:28:31
UPDATE;2026-03-06 08:28:31;FAT_182;ELETRO_220;IDCliente_57;Cancelado;119.61;2026-03-04 04:28:31
INSERT;2026-03-09 01:16:26;FAT_183;ELETRO_352;IDCliente_46;Pago;361.67;2026-03-09 01:16:26
INSERT;2026-04-11 20:58:55;FAT_184;ELETRO_369;IDCliente_48;Pendente;105.69;2026-04-11 20:58:55
UPDATE;2026-04-12 23:58:55;FAT_184;ELETRO_369;IDCliente_48;Pago;105.69;2026-04-11 20:58:55
INSERT;2026-02-05 00:04:35;FAT_185;ELETRO_379;IDCliente_70;Pendente;124.79;2026-02-05 00:04:35
INSERT;2026-03-02 01:15:21;FAT_186;ELETRO_435;IDCliente_81;Pendente;129.63;2026-03-02 01:15:21
INSERT;2026-05-16 00:45:19;FAT_187;ELETRO_355;IDCliente_14;Pendente;154.43;2026-05-16 00:45:19
INSERT;2026-03-04 10:47:42;FAT_188;ELETRO_45;IDCliente_93;Pago;194.69;2026-03-04 10:47:42
INSERT;2026-05-31 03:03:43;FAT_189;ELETRO_255;IDCliente_39;Pago;266.69;2026-05-31 03:03:43
INSERT;2026-02-07 11:49:06;FAT_190;ELETRO_55;IDCliente_35;Pago;211.59;2026-02-07 11:49:06
INSERT;2026-04-12 11:58:47;FAT_191;ELETRO_9;IDCliente_14;Pago;336.35;2026-04-12 11:58:47
INSERT;2026-05-08 11:13:56;FAT_192;ELETRO_183;IDCliente_21;Pendente;190.99;2026-05-08 11:13:56
UPDATE;2026-05-11 17:13:56;FAT_192;ELETRO_183;IDCliente_21;Cancelado;190.99;2026-05-08 11:13:56
INSERT;2026-01-02 03:46:46;FAT_193;ELETRO_60;IDCliente_68;Pendente;134.01;2026-01-02 03:46:46
UPDATE;2026-01-04 10:46:46;FAT_193;ELETRO_60;IDCliente_68;Pago;134.01;2026-01-02 03:46:46
INSERT;2026-01-28 22:35:16;FAT_194;ELETRO_274;IDCliente_93;Pendente;60.61;2026-01-28 22:35:16
UPDATE;2026-01-31 06:35:16;FAT_194;ELETRO_274;IDCliente_93;Cancelado;60.61;2026-01-28 22:35:16
INSERT;2026-05-15 13:04:02;FAT_195;ELETRO_87;IDCliente_68;Pendente;156.78;2026-05-15 13:04:02
INSERT;2026-04-26 14:24:43;FAT_196;ELETRO_59;IDCliente_88;Pendente;278.77;2026-04-26 14:24:43
INSERT;2026-01-14 19:09:11;FAT_197;ELETRO_384;IDCliente_94;Pendente;134.69;2026-01-14 19:09:11
UPDATE;2026-01-16 02:09:11;FAT_197;ELETRO_384;IDCliente_94;Cancelado;134.69;2026-01-14 19:09:11
INSERT;2026-04-26 10:33:34;FAT_198;ELETRO_271;IDCliente_64;Pago;124.36;2026-04-26 10:33:34
INSERT;2026-05-01 11:45:35;FAT_199;ELETRO_382;IDCliente_8;Pago;315.58;2026-05-01 11:45:35
INSERT;2026-03-20 13:06:53;FAT_200;ELETRO_167;IDCliente_16;Pendente;179.98;2026-03-20 13:06:53
UPDATE;2026-03-21 22:06:53;FAT_200;ELETRO_167;IDCliente_16;Cancelado;179.98;2026-03-20 13:06:53
INSERT;2026-05-04 00:29:06;FAT_201;ELETRO_152;IDCliente_96;Pago;379.23;2026-05-04 00:29:06
INSERT;2026-04-05 12:35:15;FAT_202;ELETRO_305;IDCliente_50;Pendente;126.83;2026-04-05 12:35:15
INSERT;2026-04-27 10:02:51;FAT_203;ELETRO_469;IDCliente_67;Pago;323.54;2026-04-27 10:02:51
INSERT;2026-03-03 11:13:30;FAT_204;ELETRO_30;IDCliente_46;Pendente;295.8;2026-03-03 11:13:30
UPDATE;2026-03-05 16:13:30;FAT_204;ELETRO_30;IDCliente_46;Cancelado;295.8;2026-03-03 11:13:30
INSERT;2026-04-08 17:40:02;FAT_205;ELETRO_199;IDCliente_65;Pago;333.06;2026-04-08 17:40:02
INSERT;2026-02-25 04:55:40;FAT_206;ELETRO_217;IDCliente_20;Pendente;275.08;2026-02-25 04:55:40
UPDATE;2026-02-28 07:55:40;FAT_206;ELETRO_217;IDCliente_20;Cancelado;275.08;2026-02-25 04:55:40
INSERT;2026-03-20 13:33:35;FAT_207;ELETRO_291;IDCliente_82;Pago;330.71;2026-03-20 13:33:35
INSERT;2026-01-18 13:38:15;FAT_208;ELETRO_42;IDCliente_12;Pendente;64.65;2026-01-18 13:38:15
UPDATE;2026-01-21 00:38:15;FAT_208;ELETRO_42;IDCliente_12;Cancelado;64.65;2026-01-18 13:38:15
INSERT;2026-02-16 04:50:22;FAT_209;ELETRO_437;IDCliente_95;Pendente;73.53;2026-02-16 04:50:22
UPDATE;2026-02-19 13:50:22;FAT_209;ELETRO_437;IDCliente_95;Pago;73.53;2026-02-16 04:50:22
INSERT;2026-05-26 13:07:43;FAT_210;ELETRO_194;IDCliente_5;Pago;370.62;2026-05-26 13:07:43
INSERT;2026-05-07 08:42:23;FAT_211;ELETRO_261;IDCliente_73;Pendente;92.14;2026-05-07 08:42:23
UPDATE;2026-05-08 08:42:23;FAT_211;ELETRO_261;IDCliente_73;Cancelado;92.14;2026-05-07 08:42:23
INSERT;2026-02-25 06:10:10;FAT_212;ELETRO_416;IDCliente_47;Pago;234.2;2026-02-25 06:10:10
INSERT;2026-05-27 08:35:55;FAT_213;ELETRO_126;IDCliente_99;Pago;38.68;2026-05-27 08:35:55
INSERT;2026-04-29 18:43:48;FAT_214;ELETRO_39;IDCliente_70;Pendente;274.2;2026-04-29 18:43:48
UPDATE;2026-05-01 21:43:48;FAT_214;ELETRO_39;IDCliente_70;Cancelado;274.2;2026-04-29 18:43:48
INSERT;2026-04-27 10:40:58;FAT_215;ELETRO_154;IDCliente_88;Pago;271.88;2026-04-27 10:40:58
INSERT;2026-04-04 00:53:48;FAT_216;ELETRO_314;IDCliente_63;Pendente;224.23;2026-04-04 00:53:48
UPDATE;2026-04-07 11:53:48;FAT_216;ELETRO_314;IDCliente_63;Pago;224.23;2026-04-04 00:53:48
INSERT;2026-02-18 10:39:32;FAT_217;ELETRO_495;IDCliente_13;Pago;140.97;2026-02-18 10:39:32
INSERT;2026-04-14 01:45:09;FAT_218;ELETRO_8;IDCliente_15;Pendente;302.69;2026-04-14 01:45:09
INSERT;2026-02-15 12:50:41;FAT_219;ELETRO_8;IDCliente_55;Pago;161.34;2026-02-15 12:50:41
INSERT;2026-05-30 10:02:30;FAT_220;ELETRO_292;IDCliente_15;Pago;213.21;2026-05-30 10:02:30
INSERT;2026-01-25 04:12:58;FAT_221;ELETRO_386;IDCliente_92;Pendente;298.85;2026-01-25 04:12:58
INSERT;2026-02-27 10:49:30;FAT_222;ELETRO_315;IDCliente_67;Pago;392.61;2026-02-27 10:49:30
INSERT;2026-02-23 11:35:55;FAT_223;ELETRO_271;IDCliente_44;Pago;223.71;2026-02-23 11:35:55
INSERT;2026-03-16 05:42:36;FAT_224;ELETRO_153;IDCliente_70;Pago;318.51;2026-03-16 05:42:36
INSERT;2026-01-18 12:29:22;FAT_225;ELETRO_356;IDCliente_31;Pendente;268.03;2026-01-18 12:29:22
INSERT;2026-03-20 01:03:58;FAT_226;ELETRO_415;IDCliente_94;Pago;269.86;2026-03-20 01:03:58
INSERT;2026-04-24 00:01:56;FAT_227;ELETRO_459;IDCliente_76;Pago;339.97;2026-04-24 00:01:56
INSERT;2026-02-28 12:50:37;FAT_228;ELETRO_404;IDCliente_36;Pago;194.12;2026-02-28 12:50:37
INSERT;2026-04-10 11:36:17;FAT_229;ELETRO_316;IDCliente_87;Pendente;371.99;2026-04-10 11:36:17
UPDATE;2026-04-11 22:36:17;FAT_229;ELETRO_316;IDCliente_87;Pago;371.99;2026-04-10 11:36:17
INSERT;2026-03-02 23:43:19;FAT_230;ELETRO_248;IDCliente_34;Pendente;146.48;2026-03-02 23:43:19
UPDATE;2026-03-05 08:43:19;FAT_230;ELETRO_248;IDCliente_34;Cancelado;146.48;2026-03-02 23:43:19
INSERT;2026-02-28 12:21:46;FAT_231;ELETRO_323;IDCliente_66;Pendente;110.67;2026-02-28 12:21:46
UPDATE;2026-03-03 14:21:46;FAT_231;ELETRO_323;IDCliente_66;Pago;110.67;2026-02-28 12:21:46
INSERT;2026-01-17 11:21:07;FAT_232;ELETRO_427;IDCliente_72;Pendente;236.73;2026-01-17 11:21:07
UPDATE;2026-01-18 20:21:07;FAT_232;ELETRO_427;IDCliente_72;Pago;236.73;2026-01-17 11:21:07
INSERT;2026-04-20 11:42:35;FAT_233;ELETRO_33;IDCliente_50;Pendente;165.31;2026-04-20 11:42:35
INSERT;2026-01-14 11:28:40;FAT_234;ELETRO_353;IDCliente_51;Pago;397.26;2026-01-14 11:28:40
INSERT;2026-03-19 01:16:11;FAT_235;ELETRO_381;IDCliente_2;Pago;130.66;2026-03-19 01:16:11
INSERT;2026-03-26 11:36:03;FAT_236;ELETRO_452;IDCliente_97;Pago;115.35;2026-03-26 11:36:03
INSERT;2026-05-25 23:29:38;FAT_237;ELETRO_140;IDCliente_92;Pendente;148.56;2026-05-25 23:29:38
UPDATE;2026-05-29 00:29:38;FAT_237;ELETRO_140;IDCliente_92;Pago;148.56;2026-05-25 23:29:38
INSERT;2026-01-24 01:03:03;FAT_238;ELETRO_251;IDCliente_33;Pago;163.24;2026-01-24 01:03:03
INSERT;2026-04-02 11:48:22;FAT_239;ELETRO_401;IDCliente_74;Pendente;337.32;2026-04-02 11:48:22
UPDATE;2026-04-04 14:48:22;FAT_239;ELETRO_401;IDCliente_74;Pago;337.32;2026-04-02 11:48:22
INSERT;2026-03-30 23:16:47;FAT_240;ELETRO_271;IDCliente_20;Pago;170.78;2026-03-30 23:16:47
INSERT;2026-05-06 03:38:56;FAT_241;ELETRO_426;IDCliente_47;Pago;191.43;2026-05-06 03:38:56
INSERT;2026-03-30 08:04:01;FAT_242;ELETRO_487;IDCliente_76;Pago;93.69;2026-03-30 08:04:01
INSERT;2026-05-24 12:24:58;FAT_243;ELETRO_18;IDCliente_82;Pago;268.7;2026-05-24 12:24:58
INSERT;2026-01-17 04:55:55;FAT_244;ELETRO_322;IDCliente_40;Pago;63.66;2026-01-17 04:55:55
INSERT;2026-05-20 00:58:25;FAT_245;ELETRO_145;IDCliente_77;Pendente;40.96;2026-05-20 00:58:25
UPDATE;2026-05-21 12:58:25;FAT_245;ELETRO_145;IDCliente_77;Pago;40.96;2026-05-20 00:58:25
INSERT;2026-04-12 16:53:50;FAT_246;ELETRO_405;IDCliente_40;Pendente;173.21;2026-04-12 16:53:50
UPDATE;2026-04-16 04:53:50;FAT_246;ELETRO_405;IDCliente_40;Cancelado;173.21;2026-04-12 16:53:50
INSERT;2026-01-13 13:12:47;FAT_247;ELETRO_156;IDCliente_28;Pago;264.9;2026-01-13 13:12:47
INSERT;2026-03-06 14:07:14;FAT_248;ELETRO_391;IDCliente_89;Pendente;299.35;2026-03-06 14:07:14
UPDATE;2026-03-09 17:07:14;FAT_248;ELETRO_391;IDCliente_89;Cancelado;299.35;2026-03-06 14:07:14
INSERT;2026-02-16 04:29:52;FAT_249;ELETRO_167;IDCliente_55;Pendente;394.91;2026-02-16 04:29:52
INSERT;2026-04-08 03:05:12;FAT_250;ELETRO_48;IDCliente_69;Pago;147.25;2026-04-08 03:05:12
INSERT;2026-02-01 08:37:45;FAT_251;ELETRO_397;IDCliente_83;Pago;368.12;2026-02-01 08:37:45
INSERT;2026-04-21 11:22:32;FAT_252;ELETRO_266;IDCliente_70;Pago;204.15;2026-04-21 11:22:32
INSERT;2026-05-04 11:08:14;FAT_253;ELETRO_442;IDCliente_19;Pago;374.3;2026-05-04 11:08:14
INSERT;2026-05-17 20:58:37;FAT_254;ELETRO_351;IDCliente_69;Pago;190.29;2026-05-17 20:58:37
INSERT;2026-03-06 03:46:50;FAT_255;ELETRO_80;IDCliente_36;Pago;165.43;2026-03-06 03:46:50
INSERT;2026-01-02 13:38:59;FAT_256;ELETRO_117;IDCliente_95;Pago;41.71;2026-01-02 13:38:59
INSERT;2026-02-17 01:32:07;FAT_257;ELETRO_291;IDCliente_79;Pendente;349.54;2026-02-17 01:32:07
UPDATE;2026-02-19 13:32:07;FAT_257;ELETRO_291;IDCliente_79;Pago;349.54;2026-02-17 01:32:07
INSERT;2026-01-14 22:10:14;FAT_258;ELETRO_39;IDCliente_13;Pendente;218.83;2026-01-14 22:10:14
INSERT;2026-01-23 02:05:25;FAT_259;ELETRO_231;IDCliente_32;Pendente;371.0;2026-01-23 02:05:25
UPDATE;2026-01-24 03:05:25;FAT_259;ELETRO_231;IDCliente_32;Pago;371.0;2026-01-23 02:05:25
INSERT;2026-02-21 14:35:16;FAT_260;ELETRO_492;IDCliente_71;Pago;42.78;2026-02-21 14:35:16
INSERT;2026-03-10 04:33:37;FAT_261;ELETRO_366;IDCliente_70;Pendente;182.35;2026-03-10 04:33:37
UPDATE;2026-03-11 16:33:37;FAT_261;ELETRO_366;IDCliente_70;Pago;182.35;2026-03-10 04:33:37
INSERT;2026-05-02 19:37:38;FAT_262;ELETRO_207;IDCliente_53;Pendente;387.41;2026-05-02 19:37:38
INSERT;2026-03-30 04:46:33;FAT_263;ELETRO_450;IDCliente_26;Pago;319.97;2026-03-30 04:46:33
INSERT;2026-01-22 04:40:53;FAT_264;ELETRO_79;IDCliente_82;Pendente;220.37;2026-01-22 04:40:53
INSERT;2026-02-05 02:44:39;FAT_265;ELETRO_91;IDCliente_98;Pago;186.76;2026-02-05 02:44:39
INSERT;2026-02-11 04:56:20;FAT_266;ELETRO_137;IDCliente_39;Pendente;141.1;2026-02-11 04:56:20
UPDATE;2026-02-13 11:56:20;FAT_266;ELETRO_137;IDCliente_39;Pago;141.1;2026-02-11 04:56:20
INSERT;2026-03-04 00:18:54;FAT_267;ELETRO_233;IDCliente_89;Pago;67.91;2026-03-04 00:18:54
INSERT;2026-04-12 03:55:30;FAT_268;ELETRO_94;IDCliente_37;Pendente;342.91;2026-04-12 03:55:30
UPDATE;2026-04-15 03:55:30;FAT_268;ELETRO_94;IDCliente_37;Pago;342.91;2026-04-12 03:55:30
INSERT;2026-02-19 13:38:14;FAT_269;ELETRO_167;IDCliente_91;Pago;161.19;2026-02-19 13:38:14
INSERT;2026-03-31 03:32:24;FAT_270;ELETRO_299;IDCliente_93;Pendente;151.82;2026-03-31 03:32:24
INSERT;2026-04-27 00:12:27;FAT_271;ELETRO_185;IDCliente_41;Pendente;169.8;2026-04-27 00:12:27
UPDATE;2026-04-29 10:12:27;FAT_271;ELETRO_185;IDCliente_41;Pago;169.8;2026-04-27 00:12:27
INSERT;2026-04-02 03:06:54;FAT_272;ELETRO_322;IDCliente_64;Pendente;48.45;2026-04-02 03:06:54
UPDATE;2026-04-03 15:06:54;FAT_272;ELETRO_322;IDCliente_64;Cancelado;48.45;2026-04-02 03:06:54
INSERT;2026-05-30 20:50:02;FAT_273;ELETRO_443;IDCliente_26;Pago;144.16;2026-05-30 20:50:02
INSERT;2026-04-22 19:57:46;FAT_274;ELETRO_118;IDCliente_95;Pendente;178.5;2026-04-22 19:57:46
UPDATE;2026-04-25 07:57:46;FAT_274;ELETRO_118;IDCliente_95;Pago;178.5;2026-04-22 19:57:46
INSERT;2026-01-10 14:23:03;FAT_275;ELETRO_51;IDCliente_48;Pago;172.17;2026-01-10 14:23:03
INSERT;2026-03-05 05:56:43;FAT_276;ELETRO_219;IDCliente_22;Pendente;251.27;2026-03-05 05:56:43
INSERT;2026-01-15 09:38:53;FAT_277;ELETRO_409;IDCliente_51;Pendente;356.68;2026-01-15 09:38:53
UPDATE;2026-01-17 18:38:53;FAT_277;ELETRO_409;IDCliente_51;Cancelado;356.68;2026-01-15 09:38:53
INSERT;2026-05-29 04:10:46;FAT_278;ELETRO_456;IDCliente_54;Pago;378.56;2026-05-29 04:10:46
INSERT;2026-03-25 12:20:40;FAT_279;ELETRO_33;IDCliente_100;Pendente;178.1;2026-03-25 12:20:40
UPDATE;2026-03-26 17:20:40;FAT_279;ELETRO_33;IDCliente_100;Pago;178.1;2026-03-25 12:20:40
INSERT;2026-05-13 04:53:07;FAT_280;ELETRO_330;IDCliente_80;Pago;43.58;2026-05-13 04:53:07
INSERT;2026-01-21 06:30:05;FAT_281;ELETRO_210;IDCliente_73;Pago;315.96;2026-01-21 06:30:05
INSERT;2026-05-28 11:15:11;FAT_282;ELETRO_351;IDCliente_87;Pendente;152.24;2026-05-28 11:15:11
INSERT;2026-03-19 18:06:00;FAT_283;ELETRO_314;IDCliente_15;Pendente;269.26;2026-03-19 18:06:00
UPDATE;2026-03-23 06:06:00;FAT_283;ELETRO_314;IDCliente_15;Cancelado;269.26;2026-03-19 18:06:00
INSERT;2026-02-27 02:33:23;FAT_284;ELETRO_237;IDCliente_23;Pendente;192.19;2026-02-27 02:33:23
UPDATE;2026-03-01 04:33:23;FAT_284;ELETRO_237;IDCliente_23;Pago;192.19;2026-02-27 02:33:23
INSERT;2026-03-13 04:41:42;FAT_285;ELETRO_250;IDCliente_78;Pago;301.54;2026-03-13 04:41:42
INSERT;2026-01-04 04:51:42;FAT_286;ELETRO_474;IDCliente_17;Pendente;99.43;2026-01-04 04:51:42
UPDATE;2026-01-06 13:51:42;FAT_286;ELETRO_474;IDCliente_17;Pago;99.43;2026-01-04 04:51:42
INSERT;2026-02-09 09:52:36;FAT_287;ELETRO_333;IDCliente_65;Pago;35.29;2026-02-09 09:52:36
INSERT;2026-02-05 01:14:30;FAT_288;ELETRO_299;IDCliente_66;Pendente;225.55;2026-02-05 01:14:30
UPDATE;2026-02-06 02:14:30;FAT_288;ELETRO_299;IDCliente_66;Cancelado;225.55;2026-02-05 01:14:30
INSERT;2026-03-02 00:51:17;FAT_289;ELETRO_243;IDCliente_17;Pendente;127.6;2026-03-02 00:51:17
UPDATE;2026-03-03 05:51:17;FAT_289;ELETRO_243;IDCliente_17;Cancelado;127.6;2026-03-02 00:51:17
INSERT;2026-04-07 19:13:07;FAT_290;ELETRO_451;IDCliente_19;Pendente;169.43;2026-04-07 19:13:07
UPDATE;2026-04-09 21:13:07;FAT_290;ELETRO_451;IDCliente_19;Pago;169.43;2026-04-07 19:13:07
INSERT;2026-02-01 09:49:51;FAT_291;ELETRO_124;IDCliente_51;Pendente;179.85;2026-02-01 09:49:51
INSERT;2026-04-30 01:49:50;FAT_292;ELETRO_209;IDCliente_100;Pago;44.53;2026-04-30 01:49:50
INSERT;2026-01-12 00:22:33;FAT_293;ELETRO_202;IDCliente_76;Pendente;308.5;2026-01-12 00:22:33
UPDATE;2026-01-14 09:22:33;FAT_293;ELETRO_202;IDCliente_76;Cancelado;308.5;2026-01-12 00:22:33
INSERT;2026-02-01 04:45:35;FAT_294;ELETRO_400;IDCliente_10;Pago;283.18;2026-02-01 04:45:35
INSERT;2026-01-03 23:08:30;FAT_295;ELETRO_427;IDCliente_1;Pago;269.76;2026-01-03 23:08:30
INSERT;2026-05-23 18:33:30;FAT_296;ELETRO_117;IDCliente_37;Pago;81.45;2026-05-23 18:33:30
INSERT;2026-05-20 13:02:00;FAT_297;ELETRO_490;IDCliente_7;Pendente;363.25;2026-05-20 13:02:00
UPDATE;2026-05-22 22:02:00;FAT_297;ELETRO_490;IDCliente_7;Pago;363.25;2026-05-20 13:02:00
INSERT;2026-03-23 10:28:41;FAT_298;ELETRO_81;IDCliente_86;Pago;157.09;2026-03-23 10:28:41
INSERT;2026-05-25 10:25:44;FAT_299;ELETRO_117;IDCliente_43;Pendente;257.86;2026-05-25 10:25:44
UPDATE;2026-05-26 22:25:44;FAT_299;ELETRO_117;IDCliente_43;Cancelado;257.86;2026-05-25 10:25:44
INSERT;2026-03-06 16:35:10;FAT_300;ELETRO_495;IDCliente_52;Pendente;156.73;2026-03-06 16:35:10
UPDATE;2026-03-08 04:35:10;FAT_300;ELETRO_495;IDCliente_52;Pago;156.73;2026-03-06 16:35:10
INSERT;2026-03-12 03:01:13;FAT_301;ELETRO_101;IDCliente_94;Pago;173.52;2026-03-12 03:01:13
INSERT;2026-01-15 16:20:32;FAT_302;ELETRO_108;IDCliente_69;Pago;368.91;2026-01-15 16:20:32
INSERT;2026-03-20 02:36:51;FAT_303;ELETRO_180;IDCliente_28;Pago;294.67;2026-03-20 02:36:51
INSERT;2026-01-24 04:13:38;FAT_304;ELETRO_65;IDCliente_72;Pendente;361.9;2026-01-24 04:13:38
UPDATE;2026-01-25 13:13:38;FAT_304;ELETRO_65;IDCliente_72;Cancelado;361.9;2026-01-24 04:13:38
INSERT;2026-04-18 10:44:21;FAT_305;ELETRO_292;IDCliente_99;Pago;293.09;2026-04-18 10:44:21
INSERT;2026-02-16 20:45:14;FAT_306;ELETRO_264;IDCliente_8;Pago;141.54;2026-02-16 20:45:14
INSERT;2026-05-20 10:33:57;FAT_307;ELETRO_35;IDCliente_48;Pago;233.04;2026-05-20 10:33:57
INSERT;2026-03-28 18:59:35;FAT_308;ELETRO_30;IDCliente_98;Pago;174.23;2026-03-28 18:59:35
INSERT;2026-05-20 02:42:12;FAT_309;ELETRO_473;IDCliente_59;Pago;242.4;2026-05-20 02:42:12
INSERT;2026-02-23 03:12:02;FAT_310;ELETRO_104;IDCliente_58;Pago;134.79;2026-02-23 03:12:02
INSERT;2026-02-20 03:52:17;FAT_311;ELETRO_419;IDCliente_77;Pendente;32.54;2026-02-20 03:52:17
INSERT;2026-04-02 03:36:17;FAT_312;ELETRO_73;IDCliente_58;Pago;30.59;2026-04-02 03:36:17
INSERT;2026-03-20 12:17:32;FAT_313;ELETRO_233;IDCliente_33;Pago;390.99;2026-03-20 12:17:32
INSERT;2026-01-27 23:42:16;FAT_314;ELETRO_359;IDCliente_88;Pago;30.44;2026-01-27 23:42:16
INSERT;2026-05-20 04:17:12;FAT_315;ELETRO_346;IDCliente_98;Pendente;284.95;2026-05-20 04:17:12
UPDATE;2026-05-22 05:17:12;FAT_315;ELETRO_346;IDCliente_98;Pago;284.95;2026-05-20 04:17:12
INSERT;2026-04-26 11:16:49;FAT_316;ELETRO_467;IDCliente_28;Pago;393.45;2026-04-26 11:16:49
INSERT;2026-03-28 21:46:30;FAT_317;ELETRO_383;IDCliente_20;Pago;350.57;2026-03-28 21:46:30
INSERT;2026-05-23 13:38:21;FAT_318;ELETRO_1;IDCliente_70;Pago;135.33;2026-05-23 13:38:21
INSERT;2026-01-08 03:43:37;FAT_319;ELETRO_111;IDCliente_46;Pago;117.29;2026-01-08 03:43:37
INSERT;2026-02-10 22:17:20;FAT_320;ELETRO_53;IDCliente_88;Pendente;321.67;2026-02-10 22:17:20
INSERT;2026-01-07 03:32:38;FAT_321;ELETRO_64;IDCliente_100;Pendente;197.49;2026-01-07 03:32:38
UPDATE;2026-01-09 10:32:38;FAT_321;ELETRO_64;IDCliente_100;Cancelado;197.49;2026-01-07 03:32:38
INSERT;2026-05-31 13:36:22;FAT_322;ELETRO_19;IDCliente_6;Pendente;192.95;2026-05-31 13:36:22
UPDATE;2026-06-02 20:36:22;FAT_322;ELETRO_19;IDCliente_6;Pago;192.95;2026-05-31 13:36:22
INSERT;2026-05-19 03:11:56;FAT_323;ELETRO_149;IDCliente_100;Pendente;384.85;2026-05-19 03:11:56
UPDATE;2026-05-21 14:11:56;FAT_323;ELETRO_149;IDCliente_100;Cancelado;384.85;2026-05-19 03:11:56
